name	x	y	z	material
e71	-0.07982	-0.02773	0.05044	HydroCel CleanLeads
e72	-0.0758	-0.03646	0.06517	HydroCel CleanLeads
e73	-0.09142	0.00942	-0.02122	HydroCel CleanLeads
e74	-0.08413	-0.02899	0.01475	HydroCel CleanLeads
e75	-0.07991	-0.03948	0.0398	HydroCel CleanLeads
e76	-0.07577	-0.04643	0.05566	HydroCel CleanLeads
e77	-0.06888	-0.05114	0.07373	HydroCel CleanLeads
e78	-0.0602	-0.04597	0.095	HydroCel CleanLeads
e79	-0.04382	-0.04422	0.10628	HydroCel CleanLeads
e80	-0.02515	-0.04048	0.11595	HydroCel CleanLeads
e81	-0.00653	-0.02806	0.12512	HydroCel CleanLeads
e82	-0.0907	-0.00859	-0.03763	HydroCel CleanLeads
e83	-0.08014	-0.0498	0.00852	HydroCel CleanLeads
e84	-0.07534	-0.05289	0.02693	HydroCel CleanLeads
e85	-0.0743	-0.05682	0.04391	HydroCel CleanLeads
e86	-0.07039	-0.0599	0.05933	HydroCel CleanLeads
e87	-0.05804	-0.06693	0.07831	HydroCel CleanLeads
e88	-0.0441	-0.06291	0.0961	HydroCel CleanLeads
e89	-0.02719	-0.05859	0.10876	HydroCel CleanLeads
e90	-0.00568	-0.04492	0.11889	HydroCel CleanLeads
e91	-0.08464	-0.01712	-0.05057	HydroCel CleanLeads
e92	-0.08684	-0.03504	-0.03366	HydroCel CleanLeads
e93	-0.08718	-0.05135	-0.02045	HydroCel CleanLeads
e94	-0.08003	-0.05623	-0.00402	HydroCel CleanLeads
e95	-0.07597	-0.066	0.01037	HydroCel CleanLeads
e96	-0.0718	-0.07161	0.03442	HydroCel CleanLeads
e97	-0.06464	-0.083	0.05526	HydroCel CleanLeads
e98	-0.0578	-0.08348	0.06804	HydroCel CleanLeads
e99	-0.04385	-0.08105	0.08388	HydroCel CleanLeads
e100	-0.02589	-0.0745	0.10079	HydroCel CleanLeads
e101	-0.00531	-0.08313	0.10137	HydroCel CleanLeads
e102	-0.07979	-0.04184	-0.04969	HydroCel CleanLeads
e103	-0.07563	-0.0549	-0.03909	HydroCel CleanLeads
e104	-0.07196	-0.06948	-0.01825	HydroCel CleanLeads
e105	-0.07314	-0.07452	-0.00563	HydroCel CleanLeads
e106	-0.06644	-0.08198	0.01407	HydroCel CleanLeads
e107	-0.05877	-0.09027	0.03311	HydroCel CleanLeads
e108	-0.04678	-0.09682	0.05172	HydroCel CleanLeads
e109	-0.03675	-0.09438	0.07149	HydroCel CleanLeads
e110	-0.02229	-0.09075	0.08731	HydroCel CleanLeads
e111	-0.07252	-0.06307	-0.05307	HydroCel CleanLeads
e112	-0.06907	-0.07664	-0.03656	HydroCel CleanLeads
e113	-0.0608	-0.08753	-0.02169	HydroCel CleanLeads
e114	-0.05731	-0.08927	-0.00644	HydroCel CleanLeads
e115	-0.04947	-0.09983	0.0208	HydroCel CleanLeads
e116	-0.038	-0.10942	0.03972	HydroCel CleanLeads
e117	-0.02898	-0.11126	0.05144	HydroCel CleanLeads
e118	-0.01996	-0.10584	0.07206	HydroCel CleanLeads
e119	-0.00455	-0.09633	0.07978	HydroCel CleanLeads
e120	-0.06047	-0.07536	-0.0581	HydroCel CleanLeads
e121	-0.055	-0.08667	-0.04143	HydroCel CleanLeads
e122	-0.047	-0.09648	-0.01896	HydroCel CleanLeads
e123	-0.03724	-0.10462	-0.00141	HydroCel CleanLeads
e124	-0.02699	-0.11014	0.0129	HydroCel CleanLeads
e125	-0.01551	-0.11318	0.03748	HydroCel CleanLeads
e126	-0.00993	-0.10867	0.05906	HydroCel CleanLeads
e127	0.00161	-0.10235	0.07555	HydroCel CleanLeads
e128	0.00813	-0.09229	0.0931	HydroCel CleanLeads
e129	0.00901	-0.07768	0.10517	HydroCel CleanLeads
e130	0.0146	-0.0675	0.1179	HydroCel CleanLeads
e131	0.01332	-0.04095	0.1258	HydroCel CleanLeads
e132	0.01459	-0.02234	0.12575	HydroCel CleanLeads
e133	-0.05714	-0.09545	-0.04464	HydroCel CleanLeads
e134	-0.04098	-0.09838	-0.03279	HydroCel CleanLeads
e135	-0.03149	-0.10792	-0.01625	HydroCel CleanLeads
e136	-0.01842	-0.11799	0.00045	HydroCel CleanLeads
e137	-0.0102	-0.11555	0.02	HydroCel CleanLeads
e138	-0.00765	-0.12929	0.05175	HydroCel CleanLeads
e139	0.01002	-0.11556	0.0544	HydroCel CleanLeads
e140	0.03095	-0.09524	0.07347	HydroCel CleanLeads
e141	0.02986	-0.08602	0.08922	HydroCel CleanLeads
e142	0.03783	-0.07213	0.10694	HydroCel CleanLeads
e143	0.03514	-0.05296	0.11568	HydroCel CleanLeads
e144	0.03046	-0.02249	0.1172	HydroCel CleanLeads
e145	-0.02801	-0.09325	-0.05938	HydroCel CleanLeads
e146	-0.01881	-0.10269	-0.04073	HydroCel CleanLeads
e147	-0.00642	-0.10922	-0.0223	HydroCel CleanLeads
e148	0.00352	-0.11263	-0.00226	HydroCel CleanLeads
e149	0.01393	-0.11419	0.01774	HydroCel CleanLeads
e150	0.02838	-0.11212	0.04344	HydroCel CleanLeads
e151	0.03936	-0.10348	0.06356	HydroCel CleanLeads
e152	0.04789	-0.08708	0.07256	HydroCel CleanLeads
e153	0.04514	-0.07138	0.09085	HydroCel CleanLeads
e154	0.0533	-0.05641	0.10275	HydroCel CleanLeads
e155	0.04907	-0.02828	0.10604	HydroCel CleanLeads
e156	0.00288	-0.10272	-0.0372	HydroCel CleanLeads
e157	0.01414	-0.10819	-0.01933	HydroCel CleanLeads
e158	0.02695	-0.10694	-0.00014	HydroCel CleanLeads
e159	0.03954	-0.1094	0.02723	HydroCel CleanLeads
e160	0.04703	-0.0992	0.05198	HydroCel CleanLeads
e161	0.0559	-0.08534	0.05744	HydroCel CleanLeads
e162	0.06576	-0.07856	0.07208	HydroCel CleanLeads
e163	0.06039	-0.05924	0.08621	HydroCel CleanLeads
e164	0.05706	-0.04006	0.09939	HydroCel CleanLeads
e165	0.00809	-0.09404	-0.0571	HydroCel CleanLeads
e166	0.02149	-0.09967	-0.03833	HydroCel CleanLeads
e167	0.036	-0.0989	-0.02379	HydroCel CleanLeads
e168	0.04547	-0.09564	-0.00181	HydroCel CleanLeads
e169	0.06053	-0.08484	0.01956	HydroCel CleanLeads
e170	0.0666	-0.07637	0.03451	HydroCel CleanLeads
e171	0.07072	-0.06632	0.05123	HydroCel CleanLeads
e172	0.0737	-0.05416	0.06719	HydroCel CleanLeads
e173	0.07241	-0.04418	0.0899	HydroCel CleanLeads
e174	0.02518	-0.08563	-0.0611	HydroCel CleanLeads
e175	0.0365	-0.09117	-0.04839	HydroCel CleanLeads
e176	0.05205	-0.08735	-0.01609	HydroCel CleanLeads
e177	0.06237	-0.07691	-0.00825	HydroCel CleanLeads
e178	0.06942	-0.06927	0.01192	HydroCel CleanLeads
e179	0.0742	-0.06028	0.03076	HydroCel CleanLeads
e180	0.07853	-0.04665	0.0481	HydroCel CleanLeads
e181	0.07732	-0.03866	0.06679	HydroCel CleanLeads
e182	0.0731	-0.01825	0.09033	HydroCel CleanLeads
e183	0.05956	-0.01116	0.09387	HydroCel CleanLeads
e184	0.05134	-0.00549	0.10764	HydroCel CleanLeads
e185	0.03199	0.00176	0.11353	HydroCel CleanLeads
e186	0.00948	0.00331	0.12033	HydroCel CleanLeads
e187	0.04315	-0.07868	-0.06048	HydroCel CleanLeads
